NetBenchWithContentionMpiSsend_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^2	0.000103	0.309272
Send/Recv	2^3	0.000095	0.675193
Send/Recv	2^4	0.000105	1.223822
Send/Recv	2^5	0.000105	2.446059
Send/Recv	2^6	0.000081	6.309817
Send/Recv	2^7	0.000104	9.799371
Send/Recv	2^8	0.000106	19.389502
Send/Recv	2^9	0.000112	36.605584
Send/Recv	2^10	0.000155	52.835575
Send/Recv	2^11	0.000236	69.287939
Send/Recv	2^12	0.000387	84.755491
Send/Recv	2^13	0.001190	55.085184
Send/Recv	2^14	0.002299	57.013917
Send/Recv	2^15	0.004566	57.409568
Send/Recv	2^16	0.008895	58.942093
Send/Recv	2^17	0.018146	57.784019
Send/Recv	2^18	0.036833	56.937514
Send/Recv	2^19	0.073689	56.918745
Send/Recv	2^20	0.148318	56.558202
Send/Recv	2^21	0.297413	56.410526
Send/Recv	2^22	0.595273	56.368185
NetBenchWithContentionMpiSsend_O3_native_8
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000116	0.068805
Send/Recv	2^1	0.000117	0.137015
Send/Recv	2^2	0.000117	0.273725
Send/Recv	2^3	0.000117	0.548308
Send/Recv	2^4	0.000114	1.123974
Send/Recv	2^5	0.000113	2.274260
Send/Recv	2^6	0.000114	4.508087
Send/Recv	2^7	0.000102	10.066582
Send/Recv	2^8	0.000113	18.162335
Send/Recv	2^9	0.000127	32.211006
Send/Recv	2^10	0.000228	35.853314
Send/Recv	2^11	0.000235	69.785667
Send/Recv	2^12	0.000730	44.885458
Send/Recv	2^13	0.002114	31.005786
Send/Recv	2^14	0.003547	36.953637
Send/Recv	2^15	0.007347	35.680722
Send/Recv	2^16	0.010195	51.425115
Send/Recv	2^17	0.035721	29.354724
Send/Recv	2^18	0.072003	29.125810
Send/Recv	2^19	0.147780	28.382044
Send/Recv	2^20	0.297321	28.213940
Send/Recv	2^21	0.595121	28.191248
Send/Recv	2^22	1.190348	28.188767
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000120	0.066915
Send/Recv	2^1	0.000121	0.132560
Send/Recv	2^2	0.000116	0.275201
Send/Recv	2^3	0.000117	0.548849
Send/Recv	2^4	0.000116	1.101173
Send/Recv	2^5	0.000118	2.162473
Send/Recv	2^6	0.000121	4.229838
Send/Recv	2^7	0.000103	9.951913
Send/Recv	2^8	0.000125	16.423000
Send/Recv	2^9	0.000168	24.369925
Send/Recv	2^10	0.000182	45.041055
Send/Recv	2^11	0.000512	32.000750
Send/Recv	2^12	0.000728	45.012568
Send/Recv	2^13	0.002078	31.533162
Send/Recv	2^14	0.003494	37.511412
Send/Recv	2^15	0.008323	31.494895
Send/Recv	2^16	0.018305	28.641930
Send/Recv	2^17	0.036952	28.376909
Send/Recv	2^18	0.074059	28.317364
Send/Recv	2^19	0.147749	28.388091
Send/Recv	2^20	0.296829	28.260784
Send/Recv	2^21	0.594907	28.201388
Send/Recv	2^22	1.190257	28.190912
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000118	0.067969
Send/Recv	2^1	0.000117	0.136867
Send/Recv	2^2	0.000116	0.275671
Send/Recv	2^3	0.000117	0.548266
Send/Recv	2^4	0.000116	1.100392
Send/Recv	2^5	0.000101	2.532447
Send/Recv	2^6	0.000082	6.227839
Send/Recv	2^7	0.000105	9.790517
Send/Recv	2^8	0.000120	17.036853
Send/Recv	2^9	0.000172	23.776221
Send/Recv	2^10	0.000274	29.916210
Send/Recv	2^11	0.000454	36.051501
Send/Recv	2^12	0.000920	35.633077
Send/Recv	2^13	0.002238	29.279599
Send/Recv	2^14	0.003908	33.538402
Send/Recv	2^15	0.007752	33.818365
Send/Recv	2^16	0.017947	29.213499
Send/Recv	2^17	0.036856	28.450428
Send/Recv	2^18	0.073982	28.346713
Send/Recv	2^19	0.148619	28.221801
Send/Recv	2^20	0.297470	28.199818
Send/Recv	2^21	0.594895	28.201970
Send/Recv	2^22	1.190175	28.192848
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000116	0.068824
Send/Recv	2^1	0.000116	0.137848
Send/Recv	2^2	0.000117	0.273621
Send/Recv	2^3	0.000116	0.551956
Send/Recv	2^4	0.000117	1.093481
Send/Recv	2^5	0.000117	2.180879
Send/Recv	2^6	0.000082	6.206158
Send/Recv	2^7	0.000100	10.224058
Send/Recv	2^8	0.000127	16.171783
Send/Recv	2^9	0.000130	31.602129
Send/Recv	2^10	0.000168	48.860499
Send/Recv	2^11	0.000285	57.435117
Send/Recv	2^12	0.000823	39.820437
Send/Recv	2^13	0.002049	31.982369
