nohup: can't execute './tests1.sh': Exec format error
NetBenchWithContention_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^6	0.000079	6.457933
Send/Recv	2^7	0.000079	12.953862
Send/Recv	2^8	0.000104	19.689436
Send/Recv	2^9	0.000123	33.210772
Send/Recv	2^10	0.000184	44.617633
Send/Recv	2^11	0.000288	56.937927
Send/Recv	2^12	0.000394	83.152851
Send/Recv	2^13	0.001168	56.128957
Send/Recv	2^14	0.002353	55.703971
Send/Recv	2^15	0.004577	57.272457
Send/Recv	2^16	0.009505	55.161765
Send/Recv	2^17	0.018836	55.668659
Send/Recv	2^18	0.036820	56.957575
Send/Recv	2^19	0.073764	56.860835
Send/Recv	2^20	0.147893	56.720727
Send/Recv	2^21	0.297279	56.436008
Send/Recv	2^22	0.594888	56.404613
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000054	0.149397
Send/Recv	2^1	0.000054	0.298649
Send/Recv	2^2	0.000054	0.596486
Send/Recv	2^3	0.000054	1.184022
Send/Recv	2^4	0.000079	1.615772
Send/Recv	2^5	0.000079	3.228128
Send/Recv	2^6	0.000079	6.465395
Send/Recv	2^7	0.000079	12.956262
Send/Recv	2^8	0.000089	22.950765
Send/Recv	2^9	0.000122	33.701958
Send/Recv	2^10	0.000156	52.620919
Send/Recv	2^11	0.000310	52.808593
Send/Recv	2^12	0.000393	83.410966
Send/Recv	2^13	0.001275	51.420062
Send/Recv	2^14	0.002426	54.027907
Send/Recv	2^15	0.004547	57.651806
Send/Recv	2^16	0.008696	60.289187
Send/Recv	2^17	0.018181	57.672754
Send/Recv	2^18	0.036884	56.857668
Send/Recv	2^19	0.074006	56.674927
Send/Recv	2^20	0.148515	56.483085
Send/Recv	2^21	0.297012	56.486602
Send/Recv	2^22	0.594696	56.422844
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151193
Send/Recv	2^1	0.000053	0.302371
Send/Recv	2^2	0.000053	0.605159
Send/Recv	2^3	0.000053	1.210178
Send/Recv	2^4	0.000062	2.065377
Send/Recv	2^5	0.000079	3.240217
Send/Recv	2^6	0.000079	6.472672
Send/Recv	2^7	0.000082	12.473625
Send/Recv	2^8	0.000099	20.771602
Send/Recv	2^9	0.000117	34.912612
Send/Recv	2^10	0.000158	52.000138
Send/Recv	2^11	0.000234	69.948042
Send/Recv	2^12	0.000468	70.086357
Send/Recv	2^13	0.001268	51.704523
Send/Recv	2^14	0.002163	60.606566
Send/Recv	2^15	0.003779	69.376005
Send/Recv	2^16	0.008787	59.668305
Send/Recv	2^17	0.018050	58.094301
Send/Recv	2^18	0.036750	57.065767
Send/Recv	2^19	0.073644	56.954049
Send/Recv	2^20	0.149038	56.285205
Send/Recv	2^21	0.297678	56.360319
Send/Recv	2^22	0.595063	56.388003
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.149534
Send/Recv	2^1	0.000054	0.298133
Send/Recv	2^2	0.000053	0.604305
Send/Recv	2^3	0.000053	1.209792
Send/Recv	2^4	0.000060	2.121996
Send/Recv	2^5	0.000079	3.250583
Send/Recv	2^6	0.000079	6.477673
Send/Recv	2^7	0.000079	12.922347
Send/Recv	2^8	0.000105	19.569498
Send/Recv	2^9	0.000116	35.229254
Send/Recv	2^10	0.000156	52.520730
Send/Recv	2^11	0.000234	69.914162
Send/Recv	2^12	0.000369	88.698682
Send/Recv	2^13	0.001113	58.860935
Send/Recv	2^14	0.002238	58.561934
Send/Recv	2^15	0.003985	65.785508
Send/Recv	2^16	0.008843	59.287776
Send/Recv	2^17	0.017950	58.415494
Send/Recv	2^18	0.037347	56.152953
Send/Recv	2^19	0.073530	57.041738
Send/Recv	2^20	0.148255	56.582244
Send/Recv	2^21	0.297565	56.381591
Send/Recv	2^22	0.594847	56.408511
